date,vader_mean,finbert_mean
2009-10-29,-0.18698,-0.46259767
2009-10-30,-0.201724,-0.42366737
2009-10-31,-0.14911200000000002,-0.5256836
2009-11-01,-0.191156,-0.6805962
2009-11-02,-0.05321999999999999,-0.88843834
2009-11-03,-0.17011600000000002,-0.5033789
2009-11-04,-0.19445199999999999,-0.71473634
2009-11-05,-0.266256,-0.4780664
2009-11-06,-0.20506799999999997,-0.55406684
2009-11-07,-0.34162800000000004,-0.6220703
2009-11-08,-0.114328,-0.45330077
2009-11-09,-0.06792000000000002,-0.73530275
2009-11-10,-0.186936,-0.4415212
2009-11-11,-0.07235199999999999,-0.62711173
2009-11-12,-0.250424,-0.32460153
2009-11-13,-0.20089200000000002,-0.5806152
2009-11-14,-0.188596,-0.7452148
2009-11-15,-0.05212000000000001,-0.7716069
2009-11-16,-0.35282800000000003,-0.65972656
2009-11-17,-0.102768,-0.4563318
2009-11-18,-0.241016,-0.8663815
2009-11-19,-0.144012,-0.44783202
2009-11-20,-0.303844,-0.6004496
2009-11-21,-0.33206800000000003,-0.40128908
2009-11-22,-0.260612,-0.54195315
2009-11-23,-0.42267200000000005,-0.49935547
2009-11-24,-0.3372,-0.47222656
2009-11-25,-0.174308,-0.34314454
2009-11-26,-0.11428799999999999,-0.71541995
2009-11-27,-0.16576800000000003,-0.82777345
2009-11-28,-0.35694000000000004,-0.5127832
2009-11-29,-0.35300400000000004,-0.4225293
2009-11-30,-0.27234400000000003,-0.46350402
2009-12-01,-0.22202,-0.40562096
2009-12-02,-0.479924,-0.4843501
2009-12-03,-0.24400000000000002,-0.67009765
2009-12-04,-0.256996,-0.4620996
2009-12-05,-0.159748,-0.49525702
2009-12-06,-0.239464,-0.4770809
2009-12-07,-0.200056,-0.425
2009-12-08,-0.156396,-0.50187767
2009-12-09,-0.100132,-0.8516211
2009-12-10,-0.29424,-0.3043869
2009-12-11,-0.24180799999999997,-0.6058789
2009-12-12,-0.251084,-0.47305176
2009-12-13,-0.384444,-0.42862037
2009-12-14,-0.36852399999999996,-0.79211915
2009-12-15,-0.41649200000000003,-0.33704102
2009-12-16,-0.279592,-0.49573842
2009-12-17,-0.292668,-0.4806836
2009-12-18,-0.275656,-0.43607423
2009-12-19,-0.12248,-0.7062695
2009-12-20,-0.169916,-0.6938867
2009-12-21,-0.20206,-0.663833
2009-12-22,-0.275268,-0.4493164
2009-12-23,-0.210572,-0.819458
2009-12-24,-0.22596521739130432,-0.7798913
2009-12-25,-0.19149999999999998,-0.3159706
2009-12-26,-0.291132,-0.28466737
2009-12-27,-0.302412,-0.6513086
2009-12-28,0.039308,-0.65215576
2009-12-29,-0.130672,-0.5372656
2009-12-30,-0.34476,-0.61286134
2009-12-31,-0.33006,-0.42990234
2010-01-01,-0.22002400000000003,-0.42709878
2010-01-02,-0.104968,-0.5009495
2010-01-03,-0.079704,-0.5018652
2010-01-04,-0.157436,-0.5089795
2010-01-05,-0.301172,-0.5652051
2010-01-06,-0.386552,-0.31522238
2010-01-07,-0.07881600000000001,-0.5324219
2010-01-08,-0.38187200000000004,-0.46901366
2010-01-09,-0.314048,-0.5556885
2010-01-10,-0.246968,-0.655
2010-01-11,-0.305844,-0.40041023
2010-01-12,-0.25496800000000003,-0.69862914
2010-01-13,-0.23842,-0.35373658
2010-01-14,-0.219164,-0.5994922
2010-01-15,-0.174956,-0.6249671
2010-01-16,-0.16111999999999999,-0.67
2010-01-17,-0.15653199999999998,-0.44473633
2010-01-18,-0.160176,-0.31645784
2010-01-19,-0.277316,-0.5715234
2010-01-20,-0.08338,-0.74059266
2010-01-21,-0.30964,-0.550791
2010-01-22,-0.18498799999999999,-0.36797974
2010-01-23,-0.303584,-0.5683911
2010-01-24,-0.221256,-0.5873938
2010-01-25,-0.234708,-0.7575879
2010-01-26,-0.39976799999999996,-0.6174512
2010-01-27,-0.08699200000000001,-0.46129882
2010-01-28,-0.28982800000000003,-0.55441403
2010-01-29,-0.3158,-0.41569367
2010-01-30,-0.217808,-0.29375
2010-01-31,-0.16993200000000003,-0.39374942
2010-02-01,-0.22986,-0.5408789
2010-02-02,-0.134408,-0.729497
2010-02-03,-0.052912,-0.7084204
2010-02-04,-0.244556,-0.29354492
2010-02-05,0.017136,-0.39580193
2010-02-06,-0.261096,-0.601792
2010-02-07,-0.253368,0.0073267748
2010-02-08,-0.177944,-0.37385434
2010-02-09,-0.28854,-0.3330882
2010-02-10,-0.194144,-0.6565137
2010-02-11,-0.19513999999999998,-0.22041015
2010-02-12,-0.25872,-0.48851135
2010-02-13,-0.30885999999999997,-0.3756958
2010-02-14,-0.261,-0.74220705
2010-02-15,-0.319044,-0.62608397
2010-02-16,-0.43007599999999996,-0.5975195
2010-02-17,-0.351212,-0.58070385
2010-02-18,-0.240404,-0.583537
2010-02-19,-0.369472,-0.34892663
2010-02-20,-0.131044,-0.7658506
2010-02-21,-0.24824,-0.38756865
2010-02-22,-0.306156,-0.11117187
2010-02-23,-0.30687200000000003,-0.43156922
2010-02-24,-0.22862400000000002,-0.407883
2010-02-25,-0.14456,-0.46157634
2010-02-26,-0.12234,-0.46323365
2010-02-27,-0.19488,-0.27205643
2010-02-28,-0.16177599999999998,-0.45067647
2010-03-01,-0.388304,-0.581582
2010-03-02,-0.263628,-0.6777832
2010-03-03,-0.269572,-0.41560552
2010-03-04,-0.1985,-0.54912597
2010-03-05,-0.160512,-0.65016156
2010-03-06,-0.257068,-0.38183594
2010-03-07,-0.21513200000000002,-0.58813965
2010-03-08,-0.12128,-0.4631245
2010-03-09,-0.12388,-0.7456178
2010-03-10,-0.090096,-0.5658325
2010-03-11,-0.159732,-0.36122176
2010-03-12,-0.21138400000000002,-0.58993167
2010-03-13,-0.155556,-0.69694334
2010-03-14,0.018843999999999993,-0.64866793
2010-03-15,-0.08016400000000001,-0.6275586
2010-03-16,-0.306384,-0.6538574
2010-03-17,-0.154184,-0.5346818
2010-03-18,-0.148152,-0.6555562
2010-03-19,-0.28782,-0.5659668
2010-03-20,-0.296976,-0.7445703
2010-03-21,-0.19032,-0.5681616
2010-03-22,-0.274052,-0.7811194
2010-03-23,-0.27128399999999997,-0.40597656
2010-03-24,-0.267644,-0.60546875
2010-03-25,-0.226264,-0.7346997
2010-03-26,-0.286072,-0.4737853
2010-03-27,-0.351064,-0.41973633
