date_seen_utc,headline,source,url
20250731T053000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Rural",,https://www.therural.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T053000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Crookwell Gazette",,https://www.crookwellgazette.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T030000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Eastern Riverina Chronicle",,https://www.easternriverinachronicle.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T024500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | South Coast Register",,https://www.southcoastregister.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T024500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Tenterfield Star",,https://www.tenterfieldstar.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T024500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Muswellbrook Chronicle",,https://www.muswellbrookchronicle.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T034500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Gloucester Advocate",,https://www.gloucesteradvocate.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T034500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Lithgow Mercury",,https://www.lithgowmercury.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T034500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Narooma News",,https://www.naroomanewsonline.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T020000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Singleton Argus",,https://www.singletonargus.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
